,연도,시도,행정구역,코드,학제,date.x,성별,학생수,인구수_2년전_4세,인구수_1년전_5세,4세대비5세변동치,5세대비1학년변동치,4세대비1학년변동치,4세대비5세변동률,5세대비1학년변동률,4세대비1학년변동률
3558,2019,부산,동래구,2626000000,초등학교,2019-04-01,남자,1167,1138,1125,-13,42,29,-0.01142355,0.037333333,0.025483304
3559,2019,부산,남구,2629000000,초등학교,2019-04-01,전체,2214,2045,2101,56,113,169,0.027383863,0.053783912,0.082640587
3560,2019,부산,남구,2629000000,초등학교,2019-04-01,여자,1098,987,1023,36,75,111,0.036474164,0.073313783,0.112462006
3561,2019,부산,남구,2629000000,초등학교,2019-04-01,남자,1116,1058,1078,20,38,58,0.018903592,0.035250464,0.054820416
3562,2019,부산,북구,2632000000,초등학교,2019-04-01,전체,2275,2468,2370,-98,-95,-193,-0.039708266,-0.040084388,-0.078200972
3563,2019,부산,북구,2632000000,초등학교,2019-04-01,여자,1080,1189,1139,-50,-59,-109,-0.042052145,-0.051799824,-0.091673675
3564,2019,부산,북구,2632000000,초등학교,2019-04-01,남자,1195,1279,1231,-48,-36,-84,-0.03752932,-0.029244517,-0.06567631
3565,2019,부산,해운대구,2635000000,초등학교,2019-04-01,전체,3398,3574,3550,-24,-152,-176,-0.006715165,-0.042816901,-0.049244544
3566,2019,부산,해운대구,2635000000,초등학교,2019-04-01,여자,1605,1664,1647,-17,-42,-59,-0.010216346,-0.025500911,-0.035456731
3567,2019,부산,해운대구,2635000000,초등학교,2019-04-01,남자,1793,1910,1903,-7,-110,-117,-0.003664921,-0.057803468,-0.061256545
3568,2019,부산,사하구,2638000000,초등학교,2019-04-01,전체,2572,2740,2681,-59,-109,-168,-0.021532847,-0.040656471,-0.061313869
3569,2019,부산,사하구,2638000000,초등학교,2019-04-01,여자,1282,1360,1341,-19,-59,-78,-0.013970588,-0.043997017,-0.057352941
3570,2019,부산,사하구,2638000000,초등학교,2019-04-01,남자,1290,1380,1340,-40,-50,-90,-0.028985507,-0.037313433,-0.065217391
