,시도,행정구역,평균,최대,최소,표준편차,표준편차 보정값,최대 - 최소,평균 * 표준편차 보정값,,
219,충남,홍성군,10.45383556,34.9056604,-7.1090047,10.11394777,0.219113252,42.0146651,2.290573905,,
220,충북,괴산군,1.092641537,26.5060241,-22.2222222,13.80072169,0.310338507,48.7282463,0.339088743,,
221,충북,단양군,-3.596854874,13.6363636,-18.9873418,10.46323269,0.227755931,32.6237054,-0.819205032,,
222,충북,보은군,0.20722153,23.655914,-23.2323232,9.626811625,0.207059592,46.8882372,0.042907205,,
223,충북,영동군,-6.486253422,13.7931034,-23.6486486,9.222693161,0.197060115,37.441752,-1.278181848,,
224,충북,옥천군,-1.826533648,11.038961,-19.4805195,7.809576809,0.162094071,30.5194805,-0.296070275,,
225,충북,음성군,-6.545114256,2.8915663,-14.0350877,5.288189013,0.099705043,16.926654,-0.652580896,,
226,충북,제천시,-2.378745393,8.8353414,-8.8353414,4.477402028,0.079642991,17.6706828,-0.189450398,,
227,충북,증평군,-9.265536585,2.7210884,-23.3160622,6.816618599,0.137524389,26.0371506,-1.274237254,,
228,충북,진천군,12.67794104,27.9202279,-8.3333333,9.759595844,0.210345195,36.2535612,2.666743976,,
229,충북,청주시,1.217192279,22.9473684,-14.4171779,10.70004747,0.233615659,37.3645463,0.284355176,,
230,충북,충주시,0.477332007,10.1204819,-6.1822126,4.156438558,0.071701095,16.3026945,0.034225228,,
